"","...1","accuracy","seed","algorithm","dataset","task","SD"
"1",0,99.9381570810142,0,"laplace","iris","numeric",0
"2",1,99.7526283240569,1,"laplace","iris","numeric",0
"3",2,99.6289424860854,2,"laplace","iris","numeric",0
"4",3,99.8763141620285,3,"laplace","iris","numeric",0
"5",4,99.8763141620285,4,"laplace","iris","numeric",0
"6",5,99.8763141620285,5,"laplace","iris","numeric",0
"7",6,99.8763141620285,6,"laplace","iris","numeric",0
"8",7,99.8763141620285,7,"laplace","iris","numeric",0
"9",8,99.7526283240569,8,"laplace","iris","numeric",0
"10",9,99.6289424860854,9,"laplace","iris","numeric",0
"11",0,99.5670995670996,0,"randomwalk","iris","numeric",0
"12",1,99.7526283240569,1,"randomwalk","iris","numeric",0
"13",2,99.7526283240569,2,"randomwalk","iris","numeric",0
"14",3,99.7526283240569,3,"randomwalk","iris","numeric",0
"15",4,99.6907854050711,4,"randomwalk","iris","numeric",0
"16",5,99.443413729128,5,"randomwalk","iris","numeric",0
"17",6,99.7526283240569,6,"randomwalk","iris","numeric",0
"18",7,99.5052566481138,7,"randomwalk","iris","numeric",0
"19",8,99.6907854050711,8,"randomwalk","iris","numeric",0
"20",9,99.5670995670996,9,"randomwalk","iris","numeric",0
"21",0,99.8144712430427,0,"wnll","iris","numeric",0
"22",1,99.8763141620285,1,"wnll","iris","numeric",0
"23",2,99.7526283240569,2,"wnll","iris","numeric",0
"24",3,99.7526283240569,3,"wnll","iris","numeric",0
"25",4,99.8763141620285,4,"wnll","iris","numeric",0
"26",5,100,5,"wnll","iris","numeric",0
"27",6,99.6907854050711,6,"wnll","iris","numeric",0
"28",7,99.9381570810142,7,"wnll","iris","numeric",0
"29",8,99.8763141620285,8,"wnll","iris","numeric",0
"30",9,99.9381570810142,9,"wnll","iris","numeric",0
"31",0,99.8144712430427,0,"mean_shifted_laplace","iris","numeric",0
"32",1,99.7526283240569,1,"mean_shifted_laplace","iris","numeric",0
"33",2,99.8763141620285,2,"mean_shifted_laplace","iris","numeric",0
"34",3,99.8144712430427,3,"mean_shifted_laplace","iris","numeric",0
"35",4,99.7526283240569,4,"mean_shifted_laplace","iris","numeric",0
"36",5,99.8144712430427,5,"mean_shifted_laplace","iris","numeric",0
"37",6,99.8763141620285,6,"mean_shifted_laplace","iris","numeric",0
"38",7,99.7526283240569,7,"mean_shifted_laplace","iris","numeric",0
"39",8,99.6907854050711,8,"mean_shifted_laplace","iris","numeric",0
"40",9,99.8144712430427,9,"mean_shifted_laplace","iris","numeric",0
"41",0,99.7526283240569,0,"poissonmbo_old","iris","numeric",0
"42",1,99.7526283240569,1,"poissonmbo_old","iris","numeric",0
"43",2,99.8144712430427,2,"poissonmbo_old","iris","numeric",0
"44",3,99.8144712430427,3,"poissonmbo_old","iris","numeric",0
"45",4,99.9381570810142,4,"poissonmbo_old","iris","numeric",0
"46",5,99.7526283240569,5,"poissonmbo_old","iris","numeric",0
"47",6,99.5670995670996,6,"poissonmbo_old","iris","numeric",0
"48",7,99.8144712430427,7,"poissonmbo_old","iris","numeric",0
"49",8,99.7526283240569,8,"poissonmbo_old","iris","numeric",0
"50",9,99.8144712430427,9,"poissonmbo_old","iris","numeric",0
"51",0,99.5670995670996,0,"poissonmbobalanced","iris","numeric",0
"52",1,99.8144712430427,1,"poissonmbobalanced","iris","numeric",0
"53",2,99.6289424860854,2,"poissonmbobalanced","iris","numeric",0
"54",3,99.443413729128,3,"poissonmbobalanced","iris","numeric",0
"55",4,99.8144712430427,4,"poissonmbobalanced","iris","numeric",0
"56",5,99.6907854050711,5,"poissonmbobalanced","iris","numeric",0
"57",6,99.6289424860854,6,"poissonmbobalanced","iris","numeric",0
"58",7,99.6907854050711,7,"poissonmbobalanced","iris","numeric",0
"59",8,99.9381570810142,8,"poissonmbobalanced","iris","numeric",0
"60",9,99.8144712430427,9,"poissonmbobalanced","iris","numeric",0
"61",0,99.5670995670996,0,"poisson2","iris","numeric",0
"62",1,99.2578849721707,1,"poisson2","iris","numeric",0
"63",2,99.5670995670996,2,"poisson2","iris","numeric",0
"64",3,99.3815708101422,3,"poisson2","iris","numeric",0
"65",4,99.2578849721707,4,"poisson2","iris","numeric",0
"66",5,99.8144712430427,5,"poisson2","iris","numeric",0
"67",6,99.8144712430427,6,"poisson2","iris","numeric",0
"68",7,99.443413729128,7,"poisson2","iris","numeric",0
"69",8,99.6289424860854,8,"poisson2","iris","numeric",0
"70",9,99.3815708101422,9,"poisson2","iris","numeric",0
"71",0,99.5052566481138,0,"poisson","iris","numeric",0
"72",1,99.6907854050711,1,"poisson","iris","numeric",0
"73",2,99.5052566481138,2,"poisson","iris","numeric",0
"74",3,99.5052566481138,3,"poisson","iris","numeric",0
"75",4,99.6289424860854,4,"poisson","iris","numeric",0
"76",5,99.6289424860854,5,"poisson","iris","numeric",0
"77",6,99.6289424860854,6,"poisson","iris","numeric",0
"78",7,99.6907854050711,7,"poisson","iris","numeric",0
"79",8,99.7526283240569,8,"poisson","iris","numeric",0
"80",9,99.7526283240569,9,"poisson","iris","numeric",0
"81",0,99.6907854050711,0,"poissonbalanced","iris","numeric",0
"82",1,99.7526283240569,1,"poissonbalanced","iris","numeric",0
"83",2,99.6907854050711,2,"poissonbalanced","iris","numeric",0
"84",3,99.6289424860854,3,"poissonbalanced","iris","numeric",0
"85",4,99.5052566481138,4,"poissonbalanced","iris","numeric",0
